timestamp,temperature,humidity,cpu_temperature,ram_usage,network_data_sent,network_data_received
2024-05-02 11:26:25,25.74,59.99,70.87,57.73,3310748,7608973
2024-05-02 11:26:25,25.32,46.71,45.58,60.03,4996366,6220856
2024-05-02 11:26:25,24.19,55.93,56.37,37.04,3524677,6091670
2024-05-02 11:26:25,27.08,56.76,77.48,65.69,4658669,7998711
2024-05-02 11:26:25,25.78,59.43,54.70,67.75,2107695,7615204
2024-05-02 11:26:25,27.81,46.80,44.61,39.56,2867009,2375930
2024-05-02 11:26:25,23.13,44.62,55.35,56.15,2677826,2041732
2024-05-02 11:26:25,23.60,44.80,41.79,62.01,2746169,2862852
2024-05-02 11:26:25,27.60,40.87,71.07,41.80,4573470,6428523
2024-05-02 11:26:25,28.49,51.94,54.15,36.10,2854067,7728698
2024-05-02 11:26:25,20.14,50.94,59.12,44.03,1066583,4770318
2024-05-02 11:26:25,24.33,45.19,42.53,59.52,3083163,3743035
2024-05-02 11:26:25,22.70,45.22,75.76,34.54,4121421,2256690
2024-05-02 11:26:25,21.63,47.78,58.18,55.76,1520000,3412435
2024-05-02 11:26:25,23.33,55.10,42.69,31.87,4176724,6337675
2024-05-02 11:26:25,20.71,46.99,53.04,45.64,3155420,2493695
2024-05-02 11:26:25,21.69,54.57,46.41,31.97,1729894,2145760
2024-05-02 11:26:25,20.93,57.43,52.88,68.54,3827123,5465923
2024-05-02 11:26:25,28.60,53.68,76.59,60.03,4850952,7991345
2024-05-02 11:26:25,28.23,41.63,51.90,36.91,3937725,6306700
2024-05-02 11:26:25,29.91,46.09,67.07,68.80,4920349,6083544
2024-05-02 11:26:25,24.24,57.74,50.23,52.70,1898369,4591555
2024-05-02 11:26:25,25.97,53.22,50.83,37.38,1712253,4665004
2024-05-02 11:26:25,29.42,56.24,74.15,63.22,2946045,6421213
2024-05-02 11:26:25,25.06,56.30,45.75,41.87,2893172,3029743
2024-05-02 11:26:25,23.58,46.69,60.83,40.30,4489052,7409775
2024-05-02 11:26:25,20.95,58.97,43.83,39.74,3794456,2555057
2024-05-02 11:26:25,29.05,58.77,48.39,42.47,3567647,3793967
2024-05-02 11:26:25,26.02,40.78,42.04,33.14,3239393,4811493
2024-05-02 11:26:25,27.79,47.54,41.77,47.62,1077113,6014655
2024-05-02 11:26:25,24.11,46.57,59.74,57.77,3562306,6713172
2024-05-02 11:26:25,25.13,53.47,43.29,43.42,1553919,6144718
2024-05-02 11:26:25,27.33,56.98,52.72,46.85,2493869,3010137
2024-05-02 11:26:25,28.41,48.28,53.56,37.25,2524489,2235537
2024-05-02 11:26:25,21.88,53.67,44.24,38.40,4561034,2476948
2024-05-02 11:26:25,25.49,46.86,50.56,48.92,1264180,7254566
2024-05-02 11:26:25,22.84,54.76,63.66,35.28,3171800,3609655
2024-05-02 11:26:25,22.60,51.86,42.31,64.58,3093208,3337399
2024-05-02 11:26:25,20.34,50.88,63.68,30.51,3092839,5012782
2024-05-02 11:26:25,26.93,44.13,54.17,61.58,3506800,2083169
2024-05-02 11:26:25,22.88,42.54,74.23,57.80,2526076,5743949
2024-05-02 11:26:25,26.28,44.25,46.29,67.51,1634820,3600114
2024-05-02 11:26:25,27.34,45.53,43.03,55.04,4810034,6641316
2024-05-02 11:26:25,24.21,49.24,72.50,41.91,3569874,6726196
2024-05-02 11:26:25,20.53,42.85,44.98,32.57,2436396,6680354
2024-05-02 11:26:25,27.49,53.33,67.27,66.08,1371640,6293198
2024-05-02 11:26:25,27.03,57.16,77.88,45.75,3003981,2616893
2024-05-02 11:26:25,21.51,58.49,64.38,42.34,4023597,6636820
2024-05-02 11:26:25,21.03,55.00,52.84,59.04,1585946,5147832
2024-05-02 11:26:25,22.84,56.84,69.74,55.35,3074387,6698812
2024-05-02 11:26:25,20.99,51.04,74.98,37.09,2417087,3816369
2024-05-02 11:26:25,27.23,51.45,78.82,31.12,1801413,2446299
2024-05-02 11:26:25,20.04,48.94,48.02,68.47,4097253,5392223
2024-05-02 11:26:25,26.91,50.02,57.66,57.63,3613828,2437902
2024-05-02 11:26:25,23.60,52.55,65.97,41.53,3303638,5603528
2024-05-02 11:26:25,23.40,52.50,63.51,59.80,3627693,6321340
2024-05-02 11:26:25,29.00,51.21,40.50,37.20,4527219,5731301
2024-05-02 11:26:25,20.60,48.26,48.05,31.51,2881334,6138652
2024-05-02 11:26:25,23.65,45.79,55.46,62.86,3979700,7694703
2024-05-02 11:26:25,25.62,45.45,57.75,52.28,1824708,3849935
